m49_name,m49_code,start_year,end_year,notes,is_old
Guadeloupe,312,1982,NA,Current ISO 3166-1 country,FALSE
Guam,316,1982,NA,Current ISO 3166-1 country,FALSE
Guatemala,320,1982,NA,Current ISO 3166-1 country,FALSE
Guinea,324,1982,NA,Current ISO 3166-1 country,FALSE
Guyana,328,1982,NA,Current ISO 3166-1 country,FALSE
Haiti,332,1982,NA,Current ISO 3166-1 country,FALSE
Heard Island and McDonald Islands,334,1982,NA,Re-introduced from ISO-3166 numerical code list,FALSE
Holy See,336,1982,NA,Current ISO 3166-1 country,FALSE
Honduras,340,1982,NA,Current ISO 3166-1 country,FALSE
Hong Kong,344,1982,NA,Current ISO 3166-1 country,FALSE
Hungary,348,1982,NA,Current ISO 3166-1 country,FALSE
Iceland,352,1982,NA,Current ISO 3166-1 country,FALSE
India,356,1982,NA,Current ISO 3166-1 country,FALSE
Indonesia,360,1982,NA,Current ISO 3166-1 country,FALSE
"Iran, Islamic Republic of",364,1982,NA,Current ISO 3166-1 country,FALSE
Iraq,368,1982,NA,Current ISO 3166-1 country,FALSE
Ireland,372,1982,NA,Current ISO 3166-1 country,FALSE
Israel,376,1982,NA,Current ISO 3166-1 country,FALSE
Italy,380,1982,NA,Current ISO 3166-1 country,FALSE
Côte d'Ivoire,384,1982,NA,Current ISO 3166-1 country,FALSE
Jamaica,388,1982,NA,Current ISO 3166-1 country,FALSE
Japan,392,1982,NA,Current ISO 3166-1 country,FALSE
Kazakhstan,398,1991,NA,Formerly part of the Union of Soviet Socialist Republics (numerical code 810),FALSE
Jordan,400,1982,NA,Current ISO 3166-1 country,FALSE
Kenya,404,1982,NA,Current ISO 3166-1 country,FALSE
"Korea, Democratic People's Republic of",408,1982,NA,Current ISO 3166-1 country,FALSE
"Korea, Republic of",410,1982,NA,Current ISO 3166-1 country,FALSE
Kuwait,414,1982,NA,Current ISO 3166-1 country,FALSE
Kyrgyzstan,417,1991,NA,Formerly part of the Union of Soviet Socialist Republics (numerical code 810),FALSE
Lao People's Democratic Republic,418,1982,NA,Current ISO 3166-1 country,FALSE
Lebanon,422,1982,NA,Current ISO 3166-1 country,FALSE
Lesotho,426,1982,NA,Current ISO 3166-1 country,FALSE
Latvia,428,1991,NA,Formerly part of the Union of Soviet Socialist Republics (numerical code 810),FALSE
Liberia,430,1982,NA,Current ISO 3166-1 country,FALSE
Libya,434,1982,NA,Current ISO 3166-1 country,FALSE
Liechtenstein,438,1982,NA,Current ISO 3166-1 country,FALSE
Lithuania,440,1991,NA,Formerly part of the Union of Soviet Socialist Republics (numerical code 810),FALSE
Luxembourg,442,1982,NA,Current ISO 3166-1 country,FALSE
Macao,446,1982,NA,Current ISO 3166-1 country,FALSE
Madagascar,450,1982,NA,Current ISO 3166-1 country,FALSE
Malawi,454,1982,NA,Current ISO 3166-1 country,FALSE
Malaysia,458,1982,NA,Current ISO 3166-1 country,FALSE
Maldives,462,1982,NA,Current ISO 3166-1 country,FALSE
Mali,466,1982,NA,Current ISO 3166-1 country,FALSE
Malta,470,1982,NA,Current ISO 3166-1 country,FALSE
Martinique,474,1982,NA,Current ISO 3166-1 country,FALSE
Mauritania,478,1982,NA,Current ISO 3166-1 country,FALSE
Mauritius,480,1982,NA,Current ISO 3166-1 country,FALSE
Mexico,484,1982,NA,Current ISO 3166-1 country,FALSE
Monaco,492,1982,NA,Current ISO 3166-1 country,FALSE
Mongolia,496,1982,NA,Current ISO 3166-1 country,FALSE
Republic of Moldova,498,1991,NA,Formerly part of the Union of Soviet Socialist Republics (numerical code 810),FALSE
Montenegro,499,2006,NA,Formerly part of Serbia and Montenegro (numerical code 891),FALSE
Montserrat,500,1982,NA,Current ISO 3166-1 country,FALSE
Morocco,504,1982,NA,Current ISO 3166-1 country,FALSE
Mozambique,508,1982,NA,Current ISO 3166-1 country,FALSE
Oman,512,1982,NA,Current ISO 3166-1 country,FALSE
Namibia,516,1982,NA,Current ISO 3166-1 country,FALSE
Nauru,520,1982,NA,Current ISO 3166-1 country,FALSE
Nepal,524,1982,NA,Current ISO 3166-1 country,FALSE
"Netherlands, Kingdom of the",528,1982,NA,Current ISO 3166-1 country,FALSE
Curaçao,531,2010,NA,Formerly part of the Netherlands Antilles (numerical code 530),FALSE
Aruba,533,1986,NA,Formerly included in Netherlands Antilles,FALSE
Sint Maarten (Dutch part),534,2010,NA,Formerly part of the Netherlands Antilles (numerical code 530),FALSE
"Bonaire, Sint Eustatius and Saba",535,2010,NA,Formerly part of the Netherlands Antilles (numerical code 530),FALSE
New Caledonia,540,1982,NA,Current ISO 3166-1 country,FALSE
Vanuatu,548,1982,NA,Current ISO 3166-1 country,FALSE
New Zealand,554,1982,NA,Current ISO 3166-1 country,FALSE
Nicaragua,558,1982,NA,Current ISO 3166-1 country,FALSE
Niger,562,1982,NA,Current ISO 3166-1 country,FALSE
Nigeria,566,1982,NA,Current ISO 3166-1 country,FALSE
Niue,570,1982,NA,Current ISO 3166-1 country,FALSE
Norfolk Island,574,1982,NA,Current ISO 3166-1 country,FALSE
Norway,578,1982,NA,Current ISO 3166-1 country,FALSE
Northern Mariana Islands,580,1991,NA,Formerly part of Pacific Islands (Trust Territory) (numerical code 582),FALSE
United States Minor Outlying Islands,581,1982,NA,Re-introduced from ISO-3166 numerical code list,FALSE
"Micronesia, Federated States of",583,1991,NA,Formerly part of Pacific Islands (Trust Territory) (numerical code 582),FALSE
Marshall Islands,584,1991,NA,Formerly part of Pacific Islands (Trust Territory) (numerical code 582),FALSE
Palau,585,1994,NA,Formerly part of Pacific Islands (Trust Territory) (numerical code 582),FALSE
Pakistan,586,1982,NA,Current ISO 3166-1 country,FALSE
Panama,591,1982,NA,Current ISO 3166-1 country,FALSE
Papua New Guinea,598,1982,NA,Current ISO 3166-1 country,FALSE
Paraguay,600,1982,NA,Current ISO 3166-1 country,FALSE
Peru,604,1982,NA,Current ISO 3166-1 country,FALSE
Philippines,608,1982,NA,Current ISO 3166-1 country,FALSE
Pitcairn,612,1982,NA,Current ISO 3166-1 country,FALSE
Poland,616,1982,NA,Current ISO 3166-1 country,FALSE
Portugal,620,1982,NA,Current ISO 3166-1 country,FALSE
Guinea-Bissau,624,1982,NA,Current ISO 3166-1 country,FALSE
Timor-Leste,626,1982,NA,Current ISO 3166-1 country,FALSE
Puerto Rico,630,1982,NA,Current ISO 3166-1 country,FALSE
Qatar,634,1982,NA,Current ISO 3166-1 country,FALSE
Réunion,638,1982,NA,Current ISO 3166-1 country,FALSE
Romania,642,1982,NA,Current ISO 3166-1 country,FALSE
Russian Federation,643,1991,NA,Formerly part of the Union of Soviet Socialist Republics (numerical code 810),FALSE
Rwanda,646,1982,NA,Current ISO 3166-1 country,FALSE
Saint Barthélemy,652,2007,NA,Issued a numerical code in 2007,FALSE
"Saint Helena, Ascension and Tristan da Cunha",654,1982,NA,Current ISO 3166-1 country,FALSE
Saint Kitts and Nevis,659,1982,NA,Current ISO 3166-1 country,FALSE
Anguilla,660,1982,NA,Current ISO 3166-1 country,FALSE
Saint Lucia,662,1982,NA,Current ISO 3166-1 country,FALSE
Saint Martin (French part),663,2007,NA,Issued a numerical code in 2007,FALSE
Saint Pierre and Miquelon,666,1982,NA,Current ISO 3166-1 country,FALSE
Saint Vincent and the Grenadines,670,1982,NA,Current ISO 3166-1 country,FALSE
San Marino,674,1982,NA,Current ISO 3166-1 country,FALSE
Sao Tome and Principe,678,1982,NA,Current ISO 3166-1 country,FALSE
Sark,680,2011,2023,"Part of the Channel Islands (numerical code 830), issued a separate numerical code in 2011. Removed from the list in 2023",TRUE
Saudi Arabia,682,1982,NA,Current ISO 3166-1 country,FALSE
Senegal,686,1982,NA,Current ISO 3166-1 country,FALSE
Serbia,688,2006,NA,Formerly part of Serbia and Montenegro (numerical code 891),FALSE
Seychelles,690,1982,NA,Current ISO 3166-1 country,FALSE
Sierra Leone,694,1982,NA,Current ISO 3166-1 country,FALSE
Singapore,702,1982,NA,Current ISO 3166-1 country,FALSE
Slovakia,703,1993,NA,Formerly part of Czechoslovakia (numerical code 200),FALSE
Viet Nam,704,1982,NA,Current ISO 3166-1 country,FALSE
Slovenia,705,1992,NA,Formerly part of the Socialist Federal Republic of Yugoslavia (numerical code 890),FALSE
Somalia,706,1982,NA,Current ISO 3166-1 country,FALSE
South Africa,710,1982,NA,Current ISO 3166-1 country,FALSE
Zimbabwe,716,1982,NA,Current ISO 3166-1 country,FALSE
Spain,724,1982,NA,Current ISO 3166-1 country,FALSE
South Sudan,728,2011,NA,Formerly part of Sudan (numerical code 736),FALSE
Sudan,729,2011,NA,Formerly part of Sudan (numerical code 736),FALSE
Western Sahara,732,1982,NA,Current ISO 3166-1 country,FALSE
Suriname,740,1982,NA,Current ISO 3166-1 country,FALSE
Svalbard and Jan Mayen,744,1982,NA,Current ISO 3166-1 country,FALSE
Eswatini,748,1982,NA,Current ISO 3166-1 country,FALSE
Sweden,752,1982,NA,Current ISO 3166-1 country,FALSE
Switzerland,756,1982,NA,Current ISO 3166-1 country,FALSE
Syrian Arab Republic,760,1982,NA,Current ISO 3166-1 country,FALSE
Tajikistan,762,1991,NA,Formerly part of the Union of Soviet Socialist Republics (numerical code 810),FALSE
Thailand,764,1982,NA,Current ISO 3166-1 country,FALSE
Togo,768,1982,NA,Current ISO 3166-1 country,FALSE
Tokelau,772,1982,NA,Current ISO 3166-1 country,FALSE
Tonga,776,1982,NA,Current ISO 3166-1 country,FALSE
Trinidad and Tobago,780,1982,NA,Current ISO 3166-1 country,FALSE
United Arab Emirates,784,1982,NA,Current ISO 3166-1 country,FALSE
Tunisia,788,1982,NA,Current ISO 3166-1 country,FALSE
Türkiye,792,1982,NA,Current ISO 3166-1 country,FALSE
Turkmenistan,795,1991,NA,Formerly part of the Union of Soviet Socialist Republics (numerical code 810),FALSE
Turks and Caicos Islands,796,1982,NA,Current ISO 3166-1 country,FALSE
Tuvalu,798,1982,NA,Current ISO 3166-1 country,FALSE
Uganda,800,1982,NA,Current ISO 3166-1 country,FALSE
Ukraine,804,1991,NA,Formerly part of the Union of Soviet Socialist Republics (numerical code 810),FALSE
North Macedonia,807,1992,NA,Formerly part of the Socialist Federal Republic of Yugoslavia (numerical code 890). Later renamed to North Macedonia,FALSE
Egypt,818,1982,NA,Current ISO 3166-1 country,FALSE
United Kingdom of Great Britain and Northern Ireland,826,1982,NA,Current ISO 3166-1 country,FALSE
Channel Islands,830,1982,2023,"Removed from M49 list, individual islands given separate codes",TRUE
Guernsey,831,2005,NA,Part of the Channel Islands (numerical code 830),FALSE
Jersey,832,2005,NA,Part of the Channel Islands (numerical code 830),FALSE
Isle of Man,833,1982,NA,Current ISO 3166-1 country,FALSE
"Tanzania, United Republic of",834,1982,NA,Current ISO 3166-1 country,FALSE
United States of America,840,1982,NA,Current ISO 3166-1 country,FALSE
Virgin Islands (U.S.),850,1982,NA,Current ISO 3166-1 country,FALSE
Burkina Faso,854,1982,NA,Current ISO 3166-1 country,FALSE
Uruguay,858,1982,NA,Current ISO 3166-1 country,FALSE
Uzbekistan,860,1991,NA,Formerly part of the Union of Soviet Socialist Republics (numerical code 810),FALSE
"Venezuela, Bolivarian Republic of",862,1982,NA,Current ISO 3166-1 country,FALSE
Wallis and Futuna,876,1982,NA,Current ISO 3166-1 country,FALSE
Samoa,882,1982,NA,Current ISO 3166-1 country,FALSE
Yemen,887,1990,NA,Merged from Democratic Yemen and Yemen,FALSE
Zambia,894,1982,NA,Current ISO 3166-1 country,FALSE
Southern Asia,034,2005,NA,Formerly part of South-Central Asia (numerical code 062),FALSE
Central Asia,143,2005,NA,Formerly part of South-Central Asia (numerical code 062),FALSE
Developed regions,514,2021,NA,"The distinction of ""Developed regions"" and ""Developing regions"" has been removed from the Other groupings of M49",FALSE
Developing regions,515,2021,NA,"The distinction of ""Developed regions"" and ""Developing regions"" has been removed from the Other groupings of M49",FALSE
Sudan (old),736,1982,2011,Old Sudan code before South Sudan independence,TRUE
Netherlands Antilles,530,1986,2010,Federation dissolved in 2010,TRUE
Netherlands Antilles (original),532,1982,1986,Original code before Aruba separation,TRUE
Czechoslovakia,200,1982,1993,Split into Czech Republic and Slovakia,TRUE
Democratic Yemen,720,1982,1990,Merged with Yemen to form unified Yemen,TRUE
Ethiopia (old),230,1982,1993,Before Eritrea independence,TRUE
Federal Republic of Germany,280,1982,1990,Unified with German Democratic Republic to form Germany,TRUE
German Democratic Republic,278,1982,1990,Unified with Federal Republic of Germany to form Germany,TRUE
Pacific Islands (Trust Territory),582,1982,1990,"Dissolved into Northern Mariana Islands, Micronesia, Marshall Islands, and Palau",TRUE
Serbia and Montenegro,891,1992,2006,Split into Serbia and Montenegro,TRUE
Socialist Federal Republic of Yugoslavia,890,1982,1992,Split into multiple countries,TRUE
South-Central Asia,062,1982,2005,Split into Southern Asia and Central Asia,TRUE
USSR,810,1982,1991,Dissolved into 15 independent countries,TRUE
Yemen (old),886,1982,1990,Merged with Democratic Yemen to form unified Yemen,TRUE
Canton and Enderbury Islands,128,1982,1982,Merged with Kiribati,TRUE
Johnston Island,396,1982,1982,Merged into United States Minor Outlying Islands,TRUE
Midway Islands,488,1982,1982,Merged into United States Minor Outlying Islands,TRUE
United States miscellaneous Pacific Islands,849,1982,1982,Merged into United States Minor Outlying Islands,TRUE
Wake Island,872,1982,1982,Merged into United States Minor Outlying Islands,TRUE
Gaza Strip,274,1982,1982,Discontinued,TRUE
Dronning Maud Land,216,1982,1982,Withdrawn from ISO 3166-1,TRUE
"France, Metropolitan",249,1982,1982,Withdrawn from ISO 3166-1,TRUE
Neutral Zone,536,1982,1982,Withdrawn from ISO 3166-1,TRUE
Panama (before Canal Zone),590,1982,1979,Panama before adding Panama Canal Zone in 1979,TRUE
Saint Kitts-Nevis-Anguilla,658,1982,1982,Withdrawn from ISO 3166-1,TRUE
"German Democratic Republic, Berlin",282,1982,1982,"UN Statistics Division code, never officially included in ISO 3166-1",TRUE
"Germany, West Berlin",284,1982,1982,"UN Statistics Division code, never officially included in ISO 3166-1",TRUE
Ryukyu Islands,650,1982,1982,"UN Statistics Division code, never officially included in ISO 3166-1",TRUE
Spanish North Africa,728,1982,1982,"UN Statistics Division code, never officially included in ISO 3166-1 (code now used by South Sudan)",TRUE
